id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26828447,APBCN Big apartment for Groups Sagrada Familia (1),160554212,Anna,Eixample,el Fort Pienc,41.39898,2.17581,Entire home/apt,200,1,16,2019-06-20,1.66,15,166
26830964,On the Ramblas 3 Studio 5,9784103,Apartime,Ciutat Vella,el Barri Gòtic,41.37932,2.17531,Entire home/apt,90,3,10,2019-03-13,0.85,31,0
26833879,Confortable single room just besides Ramblas :),7869684,Lionel,Ciutat Vella,el Raval,41.37721,2.17364,Private room,45,1,64,2019-07-02,5.38,2,30
26837152,"Premium Rooms for GIRLS or FAMILY, Placa España",201819283,Elena,Eixample,la Nova Esquerra de l'Eixample,41.37813,2.15073,Private room,28,3,40,2019-06-26,3.32,1,0
26837200,Cool flat with incredible views next to park Güell,69527964,Nacho,Horta-Guinardó,Can Baró,41.4156,2.15832,Entire home/apt,95,31,0,,,1,0
26837301,Quiet appartment in the city center,70229010,Sara,Ciutat Vella,el Raval,41.38261,2.1648,Private room,70,3,6,2019-06-26,0.59,1,80
26840994,Apartamento Cerca del Camp Nou,201850188,Mercedes,Les Corts,la Maternitat i Sant Ramon,41.37573,2.1228,Entire home/apt,52,31,1,2019-05-20,0.58,1,313
26842108,"Yoga-room ""Lord Buda"", silent, clean and calm.",199694216,Enrique,Sant Andreu,Navas,41.41455,2.18868,Private room,24,2,76,2019-07-09,6.40,2,247
26846252,City Center Apartment @ Plaza Cataluna-Las Ramblas,201890432,Marta,Ciutat Vella,el Barri Gòtic,41.38469,2.17103,Entire home/apt,65,31,0,,,1,49
26855351,Penthouse with terrace in El Borne (32 nights),11290811,Sai,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38707,2.18126,Entire home/apt,95,30,10,2019-07-07,0.96,1,34
26857684,Amplio y luminoso apartamento en Barcelona,201240388,Oscar,Eixample,la Dreta de l'Eixample,41.39853,2.16428,Entire home/apt,110,3,5,2018-08-25,0.44,1,36
26859365,"Big cozy deco apt, 3BR, WiFi, downtown",194270248,Eli,Ciutat Vella,el Barri Gòtic,41.38088,2.18139,Entire home/apt,170,30,8,2019-06-23,1.95,14,309
26859945,Cozy apartment in the center of Barcelona,63048416,Carla,Ciutat Vella,el Barri Gòtic,41.3814,2.18114,Entire home/apt,70,32,0,,,28,343
26860823,Cozy apartment in the city center of Barcelona,23226762,Erika,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38196,2.18149,Entire home/apt,83,32,0,,,22,342
26862103,Plaza España Apartment,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37357,2.15505,Entire home/apt,90,3,0,,,31,151
26863298,Cozy apartment with private terrace,3376710,Maria StayBarcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40529,2.14612,Entire home/apt,60,32,0,,,41,365
26863436,Art Gallery Apartment 1A,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37484,2.16261,Entire home/apt,90,3,0,,,31,154
26864675,Gotic neighbourhood apartment,3972936,Willem,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.385,2.17895,Entire home/apt,115,32,0,,,26,364
26865335,MAGNIFIC APARTMENT WITH WIFI  IN CENTRE OF BCN,2736874,Mara,Eixample,Sant Antoni,41.37538,2.16659,Entire home/apt,300,1,1,2019-01-01,0.16,17,269
26881465,I rent only a single room,84756751,Judit,Sant Martí,Provençals del Poblenou,41.40697,2.19552,Private room,23,2,30,2019-07-02,3.31,1,99
26881555,Alojamiento tranquilo en Barcelona,202198447,Gloria,Sant Andreu,la Sagrera,41.42208,2.18976,Private room,35,1,25,2019-05-25,2.12,2,103
26882159,Heart of the city center - Barcelona,202202899,Julianna,Ciutat Vella,el Barri Gòtic,41.38242,2.17464,Entire home/apt,99,1,7,2019-06-21,1.88,2,97
26883321,Sants-Montjuic comfort apart with balcony (1842),146682595,Ana & Rafa,Sants-Montjuïc,Hostafrancs,41.37569,2.14542,Entire home/apt,75,2,49,2019-07-07,4.13,8,304
26883444,Cozy Double Private room in Plaza Catalunya.,94914459,Silvi,Ciutat Vella,el Barri Gòtic,41.38657,2.17324,Private room,52,1,5,2018-09-24,0.44,1,0
26883897,CENTRAL BCN - up to 9!,5608910,BcnBookings,Eixample,la Dreta de l'Eixample,41.38716,2.16695,Entire home/apt,395,3,1,2019-06-20,1,5,11
26884784,Cozy room in El Born,201281224,Bruce,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38684,2.18112,Private room,30,1,26,2019-06-21,4.76,1,331
26886127,Lovely design Room next to paseo de gracia,15003639,Adam,Eixample,la Dreta de l'Eixample,41.3945,2.16266,Private room,125,31,0,,,1,365
26887394,Habitación doble centro Barcelona,202246803,Rafa,Eixample,la Nova Esquerra de l'Eixample,41.38307,2.15444,Private room,35,2,40,2019-06-21,3.39,1,12
26887879,Large exterior room in the center of Barcelona.,139114412,Francesc,Eixample,l'Antiga Esquerra de l'Eixample,41.38555,2.15706,Private room,60,3,0,,,2,0
26892349,Home Sharing - Individual Room in Plaza España,4846938,Mercedes,Eixample,la Nova Esquerra de l'Eixample,41.37815,2.15185,Private room,16,3,33,2019-07-05,2.80,2,46
